gvkey,fyear,enp_share
003594,2008.0,1.0
003594,2009.0,1.0
003594,2010.0,1.0
003594,2011.0,1.0
003596,1983.0,1.0
003596,1984.0,1.0
003596,1985.0,1.0
003596,1986.0,1.0
003596,1987.0,1.0
003596,1988.0,1.0
003596,1989.0,1.0
003596,1990.0,1.0
003597,1981.0,1.0
003597,1982.0,1.0
003602,1976.0,0.9905370238940147
003602,1977.0,0.9424101770672167
003602,1978.0,0.8889249229771364
003602,1979.0,0.9310948266433337
003637,1984.0,0.8009754950273273
003637,1985.0,1.0
003637,1986.0,1.0
003637,1987.0,1.0
003637,1988.0,1.0
003637,1989.0,1.0
003637,1990.0,1.0
003637,1991.0,1.0
003637,1992.0,1.0
003637,1993.0,1.0
003637,1994.0,1.0
003718,1979.0,1.0
003718,1981.0,0.9099099099099099
003718,1982.0,0.9936
003718,1983.0,0.948849104859335
003719,1981.0,1.0
003719,1982.0,1.0
003725,1981.0,1.0
003725,1982.0,1.0
003725,1983.0,1.0
003725,1984.0,1.0
003725,1985.0,1.0
003725,1986.0,1.0
003725,1987.0,1.0
003725,1988.0,1.0
003725,1989.0,1.0
003732,1979.0,1.0
003732,1980.0,1.0
003732,1981.0,1.0
003732,1982.0,1.0
003732,1983.0,1.0
003732,1984.0,1.0
003732,1985.0,1.0
003732,1986.0,1.0
003732,1987.0,1.0
003732,1988.0,1.0
003732,1989.0,1.0
003732,1990.0,1.0
003826,1980.0,1.0
003826,1981.0,1.0
003826,1982.0,1.0
003826,1983.0,1.0
003826,1984.0,1.0
003826,1985.0,1.0
003837,1988.0,1.0
003837,1989.0,1.0
003837,1990.0,1.0
003837,1991.0,1.0
003837,1992.0,1.0
003837,1993.0,1.0
003837,1994.0,1.0
003846,1977.0,1.0
003856,1980.0,1.0
003856,1981.0,1.0
003856,1982.0,1.0
003856,1983.0,1.0
003856,1984.0,1.0
003856,1985.0,1.0
003856,1986.0,1.0
003877,1981.0,1.0
003877,1982.0,1.0
003877,1983.0,1.0
003877,1984.0,1.0
003877,1985.0,1.0
003906,1982.0,1.0
003906,1983.0,1.0
003906,1984.0,1.0
003906,1985.0,1.0
003906,1986.0,1.0
003924,1980.0,1.0
003924,1981.0,1.0
003924,1982.0,1.0
003924,1983.0,1.0
003924,1984.0,1.0
003924,1985.0,1.0
003930,1987.0,1.0
003930,1988.0,1.0
003930,1989.0,1.0
003930,1990.0,1.0
003930,1991.0,1.0
003930,1992.0,1.0
003930,1993.0,1.0
003930,1994.0,1.0
003978,1979.0,1.0
003978,1980.0,1.0
003978,1981.0,1.0
003978,1982.0,1.0
003978,1983.0,1.0
003978,1984.0,1.0
003978,1985.0,1.0
004015,1978.0,0.9017857142857143
004015,1979.0,0.9885714285714285
004015,1980.0,0.9968
004015,1981.0,1.0
004015,1982.0,0.9557661927330173
004015,1983.0,0.9661016949152542
004015,1984.0,1.0
004015,1985.0,1.0
004015,1986.0,1.0
004015,1987.0,1.0
004015,1988.0,1.0
004015,1989.0,1.0
004015,1990.0,1.0
004015,1991.0,1.0
004015,1992.0,1.0
004015,1993.0,1.0
004015,1994.0,1.0
004015,1995.0,1.0
004015,1996.0,1.0
004015,1997.0,1.0
004015,1998.0,1.0
004022,1977.0,1.0
004022,1978.0,1.0
004022,1979.0,0.959089061297214
004022,1980.0,0.9591110303159474
004022,1981.0,0.9716813727905712
004022,1983.0,0.8422415032836393
004022,1984.0,0.8628562176165804
004022,1985.0,0.899540757749713
004022,1986.0,1.0
004022,1987.0,1.0
004052,1976.0,1.0
004052,1977.0,1.0
004052,1978.0,0.9797297297297297
004052,1979.0,0.9758842443729904
004052,1980.0,0.9905258171482709
004052,1981.0,1.0
